DateTime,AP,AP GF,CB DWT,CB GF,CB NPI,CB OPF,CB TLO,CC DWT,CC GF,CC HYD,CC NPI,CC OPF1,CC OPF2,CC SY,EW DWT,EW FF ART,EW FF CMP,EW FF NPI,EW GF,EW NPI,EW OPF,EW SY,FF DWT,FF NPI,FT OPF,IB CHF,IB DWT,IB GF,IB NPI,IB OPF,KA BEL,KV OPF,MS DWT,MS GF,MS NPI,MS OPF,NY GF,RO,SM DWT,SM GF,SM NPI,SM TLO,SM FT OPF,SM KV OPF
26/04/2024 9:30,33.45,0,0,1.08,1.442668516,26.53,0,0,0,0.8,2.22819043,12.79,17.67,3.17,0,0,0,0,0,1.189122682,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.613773693,3.91,0,0
26/04/2024 10:00,32.89,0,0,1.08,1.498591637,26.53,0,0,0,0.8,2.374251082,12.79,17.67,2.67,0,0,0,0,0,1.219455081,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.691881218,3.91,0,0
26/04/2024 10:30,32.89,0,0,1.08,1.547242841,26.53,0,0,0,0.8,2.468828973,12.79,17.67,2.67,0,0,0,0,0,1.249467808,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.755587301,3.91,0,0
26/04/2024 11:00,34.98,0,0,1.08,1.599536277,26.53,0,0,0,0.8,2.541049264,12.79,17.67,0,0,0,0,0,0,1.263215798,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.810658831,3.87,0,0
26/04/2024 11:30,34.98,0,0,1.08,1.643126707,26.53,0,0,0,0.8,2.60205905,12.79,17.67,0,0,0,0,0,0,1.287002596,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.858065815,3.87,0,0
26/04/2024 12:00,34,0,0,1.08,1.668080794,26.53,3.16,0,0,0.8,2.654998542,12.79,17.67,2.52,0,0,0,0,0,1.313066098,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.896493149,3.91,0,0
26/04/2024 12:30,34,0,0,1.08,1.693626194,26.53,3.16,0,0,0.8,2.712247969,12.79,17.67,2.52,0,0,0,0,0,1.328757908,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.929642678,3.91,0,0
26/04/2024 13:00,33.62,0,0,1.08,1.754856906,26.53,4,0,0,0.8,2.764669062,12.79,17.67,3.17,0,0,0,0,0,1.320159316,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.973064988,3.91,0,0
26/04/2024 13:30,33.62,0,0,1.08,1.808103056,26.53,4,0,0,0.8,2.826223902,12.79,17.67,3.17,0,0,0,0,0,1.319812828,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.023829111,3.91,0,0
26/04/2024 14:00,34.69,0,0,1.08,1.849972708,26.53,1.6,0,0,0.8,2.934533835,12.79,17.67,3.17,0,0,0,0,0,1.344670958,3.91,1.16,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.094415678,3.72,0,0
26/04/2024 14:30,34.69,0,0,1.08,1.863134389,26.53,1.6,0,0,0.8,2.989196559,12.79,17.67,3.17,0,0,0,0,0,1.356191743,3.91,1.16,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.141202085,3.72,0,0
26/04/2024 15:00,35.05,0,0,1.08,1.913207256,26.53,0,0,0,0.8,3.064369322,12.79,17.67,2.88,0,0,0,0,0,1.36009854,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.17127454,3.61,0,0
26/04/2024 15:30,35.05,0,0,1.08,1.968519566,26.53,0,0,0,0.8,3.166446585,12.79,17.67,2.88,0,0,0,0,0,1.365509377,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.224004144,3.61,0,0
26/04/2024 16:00,34.55,0,0,1.08,1.960746818,26.53,0,0,0,0.8,3.173869919,12.79,17.67,3.17,0,0,0,0,0,1.376513682,3.91,1.28,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.224386391,3.91,0,0
26/04/2024 16:30,34.55,0,0,1.08,1.854225292,26.53,0,0,0,0.8,3.010237953,12.79,17.67,3.17,0,0,0,0,0,1.330408665,3.91,1.28,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.16038484,3.91,0,0
26/04/2024 17:00,34.88,0,0,1.08,1.799947436,26.53,0,0,0,0.8,2.879578584,12.79,17.67,3.17,0,0,0,0,0,1.197504354,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.112070611,3.91,0,0
26/04/2024 17:30,34.88,0,0,1.08,1.860575443,26.53,0,0,0,0.8,2.928171204,12.79,17.67,3.17,0,0,0,0,0,1.139606148,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.158218968,3.91,0,0
26/04/2024 18:00,34.48,0,0,1.08,1.999562555,26.53,0,0,0,0.8,3.20013436,12.79,17.67,2.7,0,0,0,0,0,1.250425065,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.282050973,3.53,0,0
26/04/2024 18:30,34.48,0,0,1.08,2.035301304,26.53,0,0,0,0.8,3.411126681,12.79,17.67,2.7,0,0,0,0,0,1.335541702,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.367690032,3.53,0,0
26/04/2024 19:00,34.78,0,0,1.08,1.99796324,26.53,0,0,0,0.8,3.367256798,12.79,17.67,0,0,0,0,0,0,1.379305843,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.403151084,3.91,0,0
26/04/2024 19:30,34.78,0,0,1.08,1.889441583,26.53,0,0,0,0.8,3.133700373,12.79,17.67,0,0,0,0,0,0,1.390583505,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.308607746,3.91,0,0
26/04/2024 20:00,34.99,0,0,1.08,1.734865578,26.53,1.38,0,0,0.8,2.812854866,12.79,17.67,3.09,0,0,0,0,0,1.384284131,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.117410298,3.91,0,0
26/04/2024 20:30,34.99,0,0,1.08,1.571788449,26.53,1.38,0,0,0.8,2.489742102,12.79,17.67,3.09,0,0,0,0,0,1.36532385,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.913643492,3.91,0,0
26/04/2024 21:00,34.58,0,0,1.08,1.459089608,26.53,4,0,0,0.8,2.248865037,12.79,17.67,3.17,0,0,0,0,0,1.35552629,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.741935557,3.42,0,0
26/04/2024 21:30,34.58,0,0,1.08,1.378131382,26.53,4,0,0,0.8,2.118091423,12.79,17.67,3.17,0,0,0,0,0,1.342612131,3.91,1.76,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.642902974,3.42,0,0
26/04/2024 22:00,34.33,0,0,1.08,1.350058302,26.53,3.39,0,0,0.8,2.074585432,12.79,17.67,3.17,0,0,0,0,0,1.346479163,3.91,1.07,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.557787944,3.91,0,0
26/04/2024 22:30,34.33,0,0,1.08,1.30441482,26.53,3.39,0,0,0.8,2.017525715,12.79,17.67,3.17,0,0,0,0,0,1.349884471,3.91,1.07,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.48165745,3.91,0,0
26/04/2024 23:00,34.5,0,0,1.08,1.278988992,26.53,0,0,0,0.8,1.966614421,12.79,17.67,1.67,0,0,0,0,0,1.345126039,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.421430661,3.91,0,0
26/04/2024 23:30,34.5,0,0,1.08,1.256350069,26.53,0,0,0,0.8,1.915604188,12.79,17.67,1.67,0,0,0,0,0,1.336868789,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.378600905,3.91,0,0
27/04/2024 0:00,30.12,0,0,1.08,1.216975573,26.53,0,0,0,0.8,1.872780156,12.79,17.67,2.11,0,0,0,0,0,1.326186284,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.334242811,3.57,0,0
27/04/2024 0:30,30.12,0,0,1.08,1.190887643,26.53,0,0,0,0.8,1.836039315,12.79,17.67,2.11,0,0,0,0,0,1.322590163,3.91,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.304603758,3.57,0,0
